month_day,month,day,date_label,date_slug,card_code,card_label,rank,suit,solar_value,card_slug,canonical_card_url,birthday_url,record_type,exceptional_day_rule,claim_classification,methodology_url,dataset_version
01-29,1,29,January 29,january-29,J♣,Jack of Clubs,J,clubs,24,jack-of-clubs,https://cardblueprints.com/birth-card/jack-of-clubs,https://cardblueprints.com/born-on/january-29,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-30,1,30,January 30,january-30,10♣,10 of Clubs,10,clubs,23,10-of-clubs,https://cardblueprints.com/birth-card/10-of-clubs,https://cardblueprints.com/born-on/january-30,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
01-31,1,31,January 31,january-31,9♣,9 of Clubs,9,clubs,22,9-of-clubs,https://cardblueprints.com/birth-card/9-of-clubs,https://cardblueprints.com/born-on/january-31,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-01,2,1,February 1,february-1,J♠,Jack of Spades,J,spades,50,jack-of-spades,https://cardblueprints.com/birth-card/jack-of-spades,https://cardblueprints.com/born-on/february-1,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-02,2,2,February 2,february-2,10♠,10 of Spades,10,spades,49,10-of-spades,https://cardblueprints.com/birth-card/10-of-spades,https://cardblueprints.com/born-on/february-2,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-03,2,3,February 3,february-3,9♠,9 of Spades,9,spades,48,9-of-spades,https://cardblueprints.com/birth-card/9-of-spades,https://cardblueprints.com/born-on/february-3,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-04,2,4,February 4,february-4,8♠,8 of Spades,8,spades,47,8-of-spades,https://cardblueprints.com/birth-card/8-of-spades,https://cardblueprints.com/born-on/february-4,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-05,2,5,February 5,february-5,7♠,7 of Spades,7,spades,46,7-of-spades,https://cardblueprints.com/birth-card/7-of-spades,https://cardblueprints.com/born-on/february-5,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-06,2,6,February 6,february-6,6♠,6 of Spades,6,spades,45,6-of-spades,https://cardblueprints.com/birth-card/6-of-spades,https://cardblueprints.com/born-on/february-6,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-07,2,7,February 7,february-7,5♠,5 of Spades,5,spades,44,5-of-spades,https://cardblueprints.com/birth-card/5-of-spades,https://cardblueprints.com/born-on/february-7,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-08,2,8,February 8,february-8,4♠,4 of Spades,4,spades,43,4-of-spades,https://cardblueprints.com/birth-card/4-of-spades,https://cardblueprints.com/born-on/february-8,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-09,2,9,February 9,february-9,3♠,3 of Spades,3,spades,42,3-of-spades,https://cardblueprints.com/birth-card/3-of-spades,https://cardblueprints.com/born-on/february-9,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-10,2,10,February 10,february-10,2♠,2 of Spades,2,spades,41,2-of-spades,https://cardblueprints.com/birth-card/2-of-spades,https://cardblueprints.com/born-on/february-10,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-11,2,11,February 11,february-11,A♠,Ace of Spades,A,spades,40,ace-of-spades,https://cardblueprints.com/birth-card/ace-of-spades,https://cardblueprints.com/born-on/february-11,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-12,2,12,February 12,february-12,K♦,King of Diamonds,K,diamonds,39,king-of-diamonds,https://cardblueprints.com/birth-card/king-of-diamonds,https://cardblueprints.com/born-on/february-12,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-13,2,13,February 13,february-13,Q♦,Queen of Diamonds,Q,diamonds,38,queen-of-diamonds,https://cardblueprints.com/birth-card/queen-of-diamonds,https://cardblueprints.com/born-on/february-13,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-14,2,14,February 14,february-14,J♦,Jack of Diamonds,J,diamonds,37,jack-of-diamonds,https://cardblueprints.com/birth-card/jack-of-diamonds,https://cardblueprints.com/born-on/february-14,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-15,2,15,February 15,february-15,10♦,10 of Diamonds,10,diamonds,36,10-of-diamonds,https://cardblueprints.com/birth-card/10-of-diamonds,https://cardblueprints.com/born-on/february-15,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-16,2,16,February 16,february-16,9♦,9 of Diamonds,9,diamonds,35,9-of-diamonds,https://cardblueprints.com/birth-card/9-of-diamonds,https://cardblueprints.com/born-on/february-16,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-17,2,17,February 17,february-17,8♦,8 of Diamonds,8,diamonds,34,8-of-diamonds,https://cardblueprints.com/birth-card/8-of-diamonds,https://cardblueprints.com/born-on/february-17,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-18,2,18,February 18,february-18,7♦,7 of Diamonds,7,diamonds,33,7-of-diamonds,https://cardblueprints.com/birth-card/7-of-diamonds,https://cardblueprints.com/born-on/february-18,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-19,2,19,February 19,february-19,6♦,6 of Diamonds,6,diamonds,32,6-of-diamonds,https://cardblueprints.com/birth-card/6-of-diamonds,https://cardblueprints.com/born-on/february-19,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-20,2,20,February 20,february-20,5♦,5 of Diamonds,5,diamonds,31,5-of-diamonds,https://cardblueprints.com/birth-card/5-of-diamonds,https://cardblueprints.com/born-on/february-20,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-21,2,21,February 21,february-21,4♦,4 of Diamonds,4,diamonds,30,4-of-diamonds,https://cardblueprints.com/birth-card/4-of-diamonds,https://cardblueprints.com/born-on/february-21,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-22,2,22,February 22,february-22,3♦,3 of Diamonds,3,diamonds,29,3-of-diamonds,https://cardblueprints.com/birth-card/3-of-diamonds,https://cardblueprints.com/born-on/february-22,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-23,2,23,February 23,february-23,2♦,2 of Diamonds,2,diamonds,28,2-of-diamonds,https://cardblueprints.com/birth-card/2-of-diamonds,https://cardblueprints.com/born-on/february-23,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-24,2,24,February 24,february-24,A♦,Ace of Diamonds,A,diamonds,27,ace-of-diamonds,https://cardblueprints.com/birth-card/ace-of-diamonds,https://cardblueprints.com/born-on/february-24,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-25,2,25,February 25,february-25,K♣,King of Clubs,K,clubs,26,king-of-clubs,https://cardblueprints.com/birth-card/king-of-clubs,https://cardblueprints.com/born-on/february-25,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-26,2,26,February 26,february-26,Q♣,Queen of Clubs,Q,clubs,25,queen-of-clubs,https://cardblueprints.com/birth-card/queen-of-clubs,https://cardblueprints.com/born-on/february-26,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-27,2,27,February 27,february-27,J♣,Jack of Clubs,J,clubs,24,jack-of-clubs,https://cardblueprints.com/birth-card/jack-of-clubs,https://cardblueprints.com/born-on/february-27,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-28,2,28,February 28,february-28,10♣,10 of Clubs,10,clubs,23,10-of-clubs,https://cardblueprints.com/birth-card/10-of-clubs,https://cardblueprints.com/born-on/february-28,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
02-29,2,29,February 29,february-29,9♣,9 of Clubs,9,clubs,22,9-of-clubs,https://cardblueprints.com/birth-card/9-of-clubs,https://cardblueprints.com/born-on/february-29,standard_card,leap_day_maps_normally,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-01,3,1,March 1,march-1,9♠,9 of Spades,9,spades,48,9-of-spades,https://cardblueprints.com/birth-card/9-of-spades,https://cardblueprints.com/born-on/march-1,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-02,3,2,March 2,march-2,8♠,8 of Spades,8,spades,47,8-of-spades,https://cardblueprints.com/birth-card/8-of-spades,https://cardblueprints.com/born-on/march-2,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-03,3,3,March 3,march-3,7♠,7 of Spades,7,spades,46,7-of-spades,https://cardblueprints.com/birth-card/7-of-spades,https://cardblueprints.com/born-on/march-3,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-04,3,4,March 4,march-4,6♠,6 of Spades,6,spades,45,6-of-spades,https://cardblueprints.com/birth-card/6-of-spades,https://cardblueprints.com/born-on/march-4,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-05,3,5,March 5,march-5,5♠,5 of Spades,5,spades,44,5-of-spades,https://cardblueprints.com/birth-card/5-of-spades,https://cardblueprints.com/born-on/march-5,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-06,3,6,March 6,march-6,4♠,4 of Spades,4,spades,43,4-of-spades,https://cardblueprints.com/birth-card/4-of-spades,https://cardblueprints.com/born-on/march-6,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-07,3,7,March 7,march-7,3♠,3 of Spades,3,spades,42,3-of-spades,https://cardblueprints.com/birth-card/3-of-spades,https://cardblueprints.com/born-on/march-7,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-08,3,8,March 8,march-8,2♠,2 of Spades,2,spades,41,2-of-spades,https://cardblueprints.com/birth-card/2-of-spades,https://cardblueprints.com/born-on/march-8,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-09,3,9,March 9,march-9,A♠,Ace of Spades,A,spades,40,ace-of-spades,https://cardblueprints.com/birth-card/ace-of-spades,https://cardblueprints.com/born-on/march-9,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-10,3,10,March 10,march-10,K♦,King of Diamonds,K,diamonds,39,king-of-diamonds,https://cardblueprints.com/birth-card/king-of-diamonds,https://cardblueprints.com/born-on/march-10,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-11,3,11,March 11,march-11,Q♦,Queen of Diamonds,Q,diamonds,38,queen-of-diamonds,https://cardblueprints.com/birth-card/queen-of-diamonds,https://cardblueprints.com/born-on/march-11,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-12,3,12,March 12,march-12,J♦,Jack of Diamonds,J,diamonds,37,jack-of-diamonds,https://cardblueprints.com/birth-card/jack-of-diamonds,https://cardblueprints.com/born-on/march-12,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-13,3,13,March 13,march-13,10♦,10 of Diamonds,10,diamonds,36,10-of-diamonds,https://cardblueprints.com/birth-card/10-of-diamonds,https://cardblueprints.com/born-on/march-13,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-14,3,14,March 14,march-14,9♦,9 of Diamonds,9,diamonds,35,9-of-diamonds,https://cardblueprints.com/birth-card/9-of-diamonds,https://cardblueprints.com/born-on/march-14,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-15,3,15,March 15,march-15,8♦,8 of Diamonds,8,diamonds,34,8-of-diamonds,https://cardblueprints.com/birth-card/8-of-diamonds,https://cardblueprints.com/born-on/march-15,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-16,3,16,March 16,march-16,7♦,7 of Diamonds,7,diamonds,33,7-of-diamonds,https://cardblueprints.com/birth-card/7-of-diamonds,https://cardblueprints.com/born-on/march-16,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-17,3,17,March 17,march-17,6♦,6 of Diamonds,6,diamonds,32,6-of-diamonds,https://cardblueprints.com/birth-card/6-of-diamonds,https://cardblueprints.com/born-on/march-17,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-18,3,18,March 18,march-18,5♦,5 of Diamonds,5,diamonds,31,5-of-diamonds,https://cardblueprints.com/birth-card/5-of-diamonds,https://cardblueprints.com/born-on/march-18,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-19,3,19,March 19,march-19,4♦,4 of Diamonds,4,diamonds,30,4-of-diamonds,https://cardblueprints.com/birth-card/4-of-diamonds,https://cardblueprints.com/born-on/march-19,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-20,3,20,March 20,march-20,3♦,3 of Diamonds,3,diamonds,29,3-of-diamonds,https://cardblueprints.com/birth-card/3-of-diamonds,https://cardblueprints.com/born-on/march-20,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-21,3,21,March 21,march-21,2♦,2 of Diamonds,2,diamonds,28,2-of-diamonds,https://cardblueprints.com/birth-card/2-of-diamonds,https://cardblueprints.com/born-on/march-21,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-22,3,22,March 22,march-22,A♦,Ace of Diamonds,A,diamonds,27,ace-of-diamonds,https://cardblueprints.com/birth-card/ace-of-diamonds,https://cardblueprints.com/born-on/march-22,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-23,3,23,March 23,march-23,K♣,King of Clubs,K,clubs,26,king-of-clubs,https://cardblueprints.com/birth-card/king-of-clubs,https://cardblueprints.com/born-on/march-23,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-24,3,24,March 24,march-24,Q♣,Queen of Clubs,Q,clubs,25,queen-of-clubs,https://cardblueprints.com/birth-card/queen-of-clubs,https://cardblueprints.com/born-on/march-24,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-25,3,25,March 25,march-25,J♣,Jack of Clubs,J,clubs,24,jack-of-clubs,https://cardblueprints.com/birth-card/jack-of-clubs,https://cardblueprints.com/born-on/march-25,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-26,3,26,March 26,march-26,10♣,10 of Clubs,10,clubs,23,10-of-clubs,https://cardblueprints.com/birth-card/10-of-clubs,https://cardblueprints.com/born-on/march-26,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-27,3,27,March 27,march-27,9♣,9 of Clubs,9,clubs,22,9-of-clubs,https://cardblueprints.com/birth-card/9-of-clubs,https://cardblueprints.com/born-on/march-27,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-28,3,28,March 28,march-28,8♣,8 of Clubs,8,clubs,21,8-of-clubs,https://cardblueprints.com/birth-card/8-of-clubs,https://cardblueprints.com/born-on/march-28,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-29,3,29,March 29,march-29,7♣,7 of Clubs,7,clubs,20,7-of-clubs,https://cardblueprints.com/birth-card/7-of-clubs,https://cardblueprints.com/born-on/march-29,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-30,3,30,March 30,march-30,6♣,6 of Clubs,6,clubs,19,6-of-clubs,https://cardblueprints.com/birth-card/6-of-clubs,https://cardblueprints.com/born-on/march-30,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
03-31,3,31,March 31,march-31,5♣,5 of Clubs,5,clubs,18,5-of-clubs,https://cardblueprints.com/birth-card/5-of-clubs,https://cardblueprints.com/born-on/march-31,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-01,4,1,April 1,april-1,7♠,7 of Spades,7,spades,46,7-of-spades,https://cardblueprints.com/birth-card/7-of-spades,https://cardblueprints.com/born-on/april-1,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-02,4,2,April 2,april-2,6♠,6 of Spades,6,spades,45,6-of-spades,https://cardblueprints.com/birth-card/6-of-spades,https://cardblueprints.com/born-on/april-2,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-03,4,3,April 3,april-3,5♠,5 of Spades,5,spades,44,5-of-spades,https://cardblueprints.com/birth-card/5-of-spades,https://cardblueprints.com/born-on/april-3,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-04,4,4,April 4,april-4,4♠,4 of Spades,4,spades,43,4-of-spades,https://cardblueprints.com/birth-card/4-of-spades,https://cardblueprints.com/born-on/april-4,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-05,4,5,April 5,april-5,3♠,3 of Spades,3,spades,42,3-of-spades,https://cardblueprints.com/birth-card/3-of-spades,https://cardblueprints.com/born-on/april-5,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-06,4,6,April 6,april-6,2♠,2 of Spades,2,spades,41,2-of-spades,https://cardblueprints.com/birth-card/2-of-spades,https://cardblueprints.com/born-on/april-6,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-07,4,7,April 7,april-7,A♠,Ace of Spades,A,spades,40,ace-of-spades,https://cardblueprints.com/birth-card/ace-of-spades,https://cardblueprints.com/born-on/april-7,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-08,4,8,April 8,april-8,K♦,King of Diamonds,K,diamonds,39,king-of-diamonds,https://cardblueprints.com/birth-card/king-of-diamonds,https://cardblueprints.com/born-on/april-8,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-09,4,9,April 9,april-9,Q♦,Queen of Diamonds,Q,diamonds,38,queen-of-diamonds,https://cardblueprints.com/birth-card/queen-of-diamonds,https://cardblueprints.com/born-on/april-9,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-10,4,10,April 10,april-10,J♦,Jack of Diamonds,J,diamonds,37,jack-of-diamonds,https://cardblueprints.com/birth-card/jack-of-diamonds,https://cardblueprints.com/born-on/april-10,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-11,4,11,April 11,april-11,10♦,10 of Diamonds,10,diamonds,36,10-of-diamonds,https://cardblueprints.com/birth-card/10-of-diamonds,https://cardblueprints.com/born-on/april-11,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-12,4,12,April 12,april-12,9♦,9 of Diamonds,9,diamonds,35,9-of-diamonds,https://cardblueprints.com/birth-card/9-of-diamonds,https://cardblueprints.com/born-on/april-12,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-13,4,13,April 13,april-13,8♦,8 of Diamonds,8,diamonds,34,8-of-diamonds,https://cardblueprints.com/birth-card/8-of-diamonds,https://cardblueprints.com/born-on/april-13,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
04-14,4,14,April 14,april-14,7♦,7 of Diamonds,7,diamonds,33,7-of-diamonds,https://cardblueprints.com/birth-card/7-of-diamonds,https://cardblueprints.com/born-on/april-14,standard_card,,deterministic_date_to_card_mapping,https://cardblueprints.com/methodology,2026-08-15
