name,birth_date,birth_card,enwiki_views_8mo,slug
Dharmendra,1935-12-08,10♣,4662651,dharmendra-birth-card
Adolf Hitler,1889-04-20,A♦,4640771,adolf-hitler-birth-card
John F. Kennedy,1917-05-29,3♣,4383283,john-f-kennedy-birth-card
Sam Neill,1947-09-14,10♣,4374267,sam-neill-birth-card
Bruce Lee,1940-11-27,6♥,4363308,bruce-lee-birth-card
Jacob Elordi,1997-06-26,4♣,4342782,jacob-elordi-birth-card
Jalen Brunson,1996-08-31,8♥,4228029,jalen-brunson-birth-card
Charles III,1948-11-14,6♣,4226095,charles-iii-birth-card
Barack Obama,1961-08-04,9♦,4148059,barack-obama-birth-card
Shakira,1977-02-02,10♠,4126866,shakira-birth-card
JD Vance,1984-08-02,J♦,4018990,jd-vance-birth-card
Timothée Chalamet,1995-12-27,4♥,4015277,timothée-chalamet-birth-card
John F. Kennedy Jr.,1960-11-25,8♥,3975080,john-f-kennedy-jr-birth-card
Folarin Balogun,2001-07-03,Q♦,3953875,folarin-balogun-birth-card
Ryan Gosling,1980-11-12,8♣,3953340,ryan-gosling-birth-card
Keir Starmer,1962-09-02,9♦,3891592,keir-starmer-birth-card
Neymar,1992-02-05,7♠,3886836,neymar-birth-card
Michael Olise,2001-12-12,6♣,3875675,michael-olise-birth-card
Mojtaba Khamenei,1969-09-08,3♦,3833624,mojtaba-khamenei-birth-card
Jermaine Jackson,1954-12-11,7♣,3813430,jermaine-jackson-birth-card
Madonna,1958-08-16,10♣,3781462,madonna-birth-card
James A. Garfield,1831-11-19,A♣,3772863,james-a-garfield-birth-card
Keanu Reeves,1964-09-02,9♦,3758171,keanu-reeves-birth-card
Kash Patel,1980-02-25,K♣,3755615,kash-patel-birth-card
Jason Arday,1985-05-09,10♦,3702564,jason-arday-birth-card
Jannik Sinner,2001-08-16,10♣,3693019,jannik-sinner-birth-card
XXXTentacion,1998-01-23,4♦,3659828,xxxtentacion-birth-card
Clint Eastwood,1930-05-31,A♣,3583748,clint-eastwood-birth-card
Peter Thiel,1967-10-11,J♣,3511252,peter-thiel-birth-card
David Attenborough,1926-05-08,J♦,3505914,david-attenborough-birth-card
Freddie Mercury,1946-09-05,6♦,3503948,freddie-mercury-birth-card
Daveigh Chase,1990-07-24,4♣,3477679,daveigh-chase-birth-card
Elvis Presley,1935-01-08,6♠,3397639,elvis-presley-birth-card
Emily Blunt,1983-02-23,2♦,3341836,emily-blunt-birth-card
Hermann Göring,1893-01-12,2♠,3270520,hermann-göring-birth-card
Lisa Marie Presley,1968-02-01,J♠,3264599,lisa-marie-presley-birth-card
Kristi Noem,1971-11-30,3♥,3219086,kristi-noem-birth-card
Callum Turner,1990-02-15,10♦,3201125,callum-turner-birth-card
Charlize Theron,1975-08-07,6♦,3198218,charlize-theron-birth-card
Mitch McConnell,1942-02-20,5♦,3193213,mitch-mcconnell-birth-card
Lewis Hamilton,1985-01-07,7♠,3179523,lewis-hamilton-birth-card
Rama Duwaji,1997-06-30,K♥,3129745,rama-duwaji-birth-card
George Washington,1732-02-22,3♦,3099436,george-washington-birth-card
Matt Damon,1970-10-08,A♦,3059204,matt-damon-birth-card
Curry Barker,1999-09-22,2♣,3044827,curry-barker-birth-card
Charlie Sheen,1965-09-03,8♦,3034800,charlie-sheen-birth-card
Hunter Schafer,1998-12-31,Joker,3008915,hunter-schafer-birth-card
Jeffrey Dahmer,1960-05-21,J♣,2999177,jeffrey-dahmer-birth-card
Kyle Busch,1985-05-02,4♠,2997800,kyle-busch-birth-card
Joe Biden,1942-11-20,K♥,2993622,joe-biden-birth-card
Michael Jordan,1963-02-17,8♦,2992688,michael-jordan-birth-card
Karoline Leavitt,1997-08-24,2♣,2982861,karoline-leavitt-birth-card
Brad Pitt,1963-12-18,K♥,2970396,brad-pitt-birth-card
Bonnie Tyler,1951-06-08,9♦,2967854,bonnie-tyler-birth-card
Robert F. Kennedy Jr.,1954-01-17,10♦,2965173,robert-f-kennedy-jr-birth-card
Margaret Qualley,1994-10-23,Q♥,2958183,margaret-qualley-birth-card
Paul McCartney,1942-06-18,Q♣,2949779,paul-mccartney-birth-card
Nicole Kidman,1967-06-20,10♣,2948630,nicole-kidman-birth-card
Robin Williams,1951-07-21,7♣,2910106,robin-williams-birth-card
Abraham Lincoln,1809-02-12,K♦,2886198,abraham-lincoln-birth-card
Dwayne Johnson,1972-05-02,4♠,2863772,dwayne-johnson-birth-card
George W. Bush,1946-07-06,9♦,2858650,george-w-bush-birth-card
Zlatan Ibrahimović,1981-10-03,6♦,2857827,zlatan-ibrahimović-birth-card
Alan Ritchson,1982-11-28,5♥,2848034,alan-ritchson-birth-card
Ousmane Dembélé,1997-05-15,4♦,2836043,ousmane-dembélé-birth-card
Amelia Dimoldenberg,1994-01-30,10♣,2834550,amelia-dimoldenberg-birth-card
Ted Bundy,1946-11-24,9♥,2806009,ted-bundy-birth-card
Elliot Page,1987-02-21,4♦,2804153,elliot-page-birth-card
Steve Jobs,1955-02-24,A♦,2796064,steve-jobs-birth-card
Jon Bernthal,1976-09-20,4♣,2795658,jon-bernthal-birth-card
Sylvester Stallone,1946-07-06,9♦,2778642,sylvester-stallone-birth-card
James Talarico,1989-05-17,2♦,2759544,james-talarico-birth-card
José Mourinho,1963-01-26,A♦,2759297,josé-mourinho-birth-card
Melania Trump,1970-04-26,8♣,2735466,melania-trump-birth-card
Heath Ledger,1979-04-04,4♠,2730878,heath-ledger-birth-card
Steven Spielberg,1946-12-18,K♥,2710985,steven-spielberg-birth-card
Marilyn Monroe,1926-06-01,3♠,2702058,marilyn-monroe-birth-card
Mia Khalifa,1993-02-10,2♠,2700597,mia-khalifa-birth-card
Ella Langley,1999-05-03,3♠,2698949,ella-langley-birth-card
Wladimir Klitschko,1976-03-25,J♣,2693736,wladimir-klitschko-birth-card
Theodore Roosevelt,1858-10-27,8♥,2687926,theodore-roosevelt-birth-card
Sabrina Carpenter,1999-05-11,8♦,2681273,sabrina-carpenter-birth-card
Harrison Ford,1942-07-13,2♦,2658034,harrison-ford-birth-card
Joe Jackson (talent manager),1928-07-26,2♣,2656906,joe-jackson-talent-manager-birth-card
George VI,1895-12-14,4♣,2648639,george-vi-birth-card
Napoleon,1769-08-15,J♣,2638576,napoleon-birth-card
Matthew Rhys,1974-11-08,Q♣,2616909,matthew-rhys-birth-card
Markwayne Mullin,1977-07-26,2♣,2589426,markwayne-mullin-birth-card
Paul Thomas Anderson,1970-06-26,4♣,2578130,paul-thomas-anderson-birth-card
Ronald Reagan,1911-02-06,6♠,2573278,ronald-reagan-birth-card
Eric Dane,1972-11-09,J♣,2564111,eric-dane-birth-card
Bob Dylan,1941-05-24,8♣,2554401,bob-dylan-birth-card
Dawood Ibrahim,1955-12-26,5♥,2551199,dawood-ibrahim-birth-card
Katherine Jackson,1930-05-04,2♠,2540076,katherine-jackson-birth-card
Jessie Buckley,1989-12-28,3♥,2530044,jessie-buckley-birth-card
Mohamed Salah,1992-06-15,2♦,2524192,mohamed-salah-birth-card
Harry Styles,1994-02-01,J♠,2524046,harry-styles-birth-card
Mira Nair,1957-10-15,7♣,2503516,mira-nair-birth-card
Paris Jackson,1998-04-03,5♠,2497706,paris-jackson-birth-card
Jason Statham,1967-07-26,2♣,2497569,jason-statham-birth-card
Jacqueline Kennedy Onassis,1929-07-28,K♥,2486770,jacqueline-kennedy-onassis-birth-card
Taylor Sheridan,1970-05-21,J♣,2485720,taylor-sheridan-birth-card
Joseph Stalin,1878-12-18,K♥,2477259,joseph-stalin-birth-card
Diego Maradona,1960-10-30,5♥,2475921,diego-maradona-birth-card
Spencer Pratt,1983-08-14,Q♣,2462613,spencer-pratt-birth-card
Kate Hudson,1979-04-19,2♦,2455933,kate-hudson-birth-card
Tom Hanks,1956-07-09,6♦,2417080,tom-hanks-birth-card
Vladimir Putin,1952-10-07,2♦,2407485,vladimir-putin-birth-card
Novak Djokovic,1987-05-22,10♣,2398402,novak-djokovic-birth-card
Anthony Bourdain,1956-06-25,5♣,2354713,anthony-bourdain-birth-card
Sophie Cunningham,1996-08-16,10♣,2347324,sophie-cunningham-birth-card
David Bowie,1947-01-08,6♠,2345589,david-bowie-birth-card
Debbie Rowe,1958-12-06,Q♣,2318420,debbie-rowe-birth-card
Rory McIlroy,1989-05-04,2♠,2294855,rory-mcilroy-birth-card
George V,1865-06-03,A♠,2290265,george-v-birth-card
Caroline Kennedy,1957-11-27,6♥,2285777,caroline-kennedy-birth-card
Hannah Waddingham,1974-07-28,K♥,2284723,hannah-waddingham-birth-card
Aryna Sabalenka,1998-05-05,A♠,2281579,aryna-sabalenka-birth-card
Anya Taylor-Joy,1996-04-16,5♦,2272427,anya-taylor-joy-birth-card
Alexander Zverev,1997-04-20,A♦,2271800,alexander-zverev-birth-card
Ruhollah Khomeini,1902-09-24,K♥,2268011,ruhollah-khomeini-birth-card
Mia Goth,1993-10-25,10♥,2265858,mia-goth-birth-card
Morena Baccarin,1979-06-02,2♠,2263064,morena-baccarin-birth-card
Ryan Reynolds,1976-10-23,Q♥,2260216,ryan-reynolds-birth-card
Dakota Johnson,1989-10-04,5♦,2248217,dakota-johnson-birth-card
Ronaldinho,1980-03-21,2♦,2225812,ronaldinho-birth-card
Conor McGregor,1988-07-14,A♦,2213277,conor-mcgregor-birth-card
Christian Pulisic,1998-09-18,6♣,2207487,christian-pulisic-birth-card
Winston Churchill,1874-11-30,3♥,2202755,winston-churchill-birth-card
Zion Suzuki,2002-08-21,5♣,2198757,zion-suzuki-birth-card
Eva Mendes,1974-03-05,5♠,2197777,eva-mendes-birth-card
Sam Altman,1985-04-22,Q♣,2194819,sam-altman-birth-card
Thomas Tuchel,1973-08-29,10♥,2177744,thomas-tuchel-birth-card
Colman Domingo,1969-11-28,5♥,2148898,colman-domingo-birth-card
Nicolas Cage,1964-01-07,7♠,2146479,nicolas-cage-birth-card
Glen Hansard,1970-04-21,K♣,2144078,glen-hansard-birth-card
Zoë Kravitz,1988-12-01,4♦,2135962,zoë-kravitz-birth-card
Stanley Tucci,1960-11-11,9♣,2129202,stanley-tucci-birth-card
Elle Fanning,1998-04-09,Q♦,2128971,elle-fanning-birth-card
Macaulay Culkin,1980-08-26,K♥,2120322,macaulay-culkin-birth-card
Pam Bondi,1965-11-17,3♣,2108046,pam-bondi-birth-card
Graham Platner,1984-09-01,10♦,2104152,graham-platner-birth-card
Sean Penn,1960-08-17,9♣,2100354,sean-penn-birth-card
Hailee Steinfeld,1996-12-11,7♣,2092495,hailee-steinfeld-birth-card
Kylie Jenner,1997-08-10,3♦,2085489,kylie-jenner-birth-card
Olivia Dean,1999-03-14,9♦,2062361,olivia-dean-birth-card
Val Kilmer,1959-12-31,Joker,2061910,val-kilmer-birth-card
Zinedine Zidane,1972-06-23,7♣,2059659,zinedine-zidane-birth-card
Dick Van Dyke,1925-12-13,5♣,2048780,dick-van-dyke-birth-card
"Diana, Princess of Wales",1961-07-01,A♠,2033562,diana-princess-of-wales-birth-card
Jennifer Lawrence,1990-08-15,J♣,2016474,jennifer-lawrence-birth-card
Mahmood Mamdani,1946-04-23,J♣,2012608,mahmood-mamdani-birth-card
Arthur Fery,2002-07-12,3♦,2009933,arthur-fery-birth-card
Dwight D. Eisenhower,1890-10-14,8♣,1999672,dwight-d-eisenhower-birth-card
John Lennon,1940-10-09,K♣,1987840,john-lennon-birth-card
Dakota Fanning,1994-02-23,2♦,1986386,dakota-fanning-birth-card
Marco Rubio,1971-05-28,4♣,1969472,marco-rubio-birth-card
Kurt Russell,1951-03-17,6♦,1965799,kurt-russell-birth-card
Bill Clinton,1946-08-19,7♣,1962340,bill-clinton-birth-card
Eric Swalwell,1980-11-16,4♣,1961745,eric-swalwell-birth-card
Sonam Wangchuk,1966-09-01,10♦,1954930,sonam-wangchuk-birth-card
Ricky Hatton,1978-10-06,3♦,1951042,ricky-hatton-birth-card
Noah Wyle,1971-06-04,K♦,1941763,noah-wyle-birth-card
Nicholas Galitzine,1994-09-29,8♥,1929448,nicholas-galitzine-birth-card
Michael B. Jordan,1987-02-09,3♠,1912935,michael-b-jordan-birth-card
Mauricio Pochettino,1972-03-02,8♠,1910470,mauricio-pochettino-birth-card
Mckenna Grace,2006-06-25,5♣,1909105,mckenna-grace-birth-card
Edward VIII,1894-06-23,7♣,1906279,edward-viii-birth-card
Pelé,1940-10-23,Q♥,1875204,pelé-birth-card
Carlos Alcaraz,2003-05-05,A♠,1866436,carlos-alcaraz-birth-card
Jason Momoa,1979-08-01,Q♦,1865934,jason-momoa-birth-card
Keke Palmer,1993-08-26,K♥,1858301,keke-palmer-birth-card
Javier Bardem,1969-03-01,9♠,1855828,javier-bardem-birth-card
Ted Turner,1938-11-19,A♣,1844678,ted-turner-birth-card
Ghislaine Maxwell,1961-12-25,6♥,1843064,ghislaine-maxwell-birth-card
Andrew Tate,1986-12-14,4♣,1842941,andrew-tate-birth-card
Zoey Deutch,1994-11-10,10♣,1825568,zoey-deutch-birth-card
Terence Crawford,1987-09-28,9♥,1824798,terence-crawford-birth-card
Demi Moore,1962-11-11,9♣,1817400,demi-moore-birth-card
Michelle Trachtenberg,1985-10-11,J♣,1816818,michelle-trachtenberg-birth-card
Jennifer Lopez,1969-07-24,4♣,1816320,jennifer-lopez-birth-card
Chase Infiniti,2000-05-01,5♠,1807674,chase-infiniti-birth-card
Naomi Osaka,1997-10-16,6♣,1793995,naomi-osaka-birth-card
Anthony Head,1954-02-20,5♦,1792081,anthony-head-birth-card
Carlo Acutis,1991-05-03,3♠,1791097,carlo-acutis-birth-card
Teyana Taylor,1990-12-10,8♣,1784168,teyana-taylor-birth-card
Ella Bright,2006-11-27,6♥,1773164,ella-bright-birth-card
Kelly Reilly,1977-07-18,10♣,1766985,kelly-reilly-birth-card
Jennifer Aniston,1969-02-11,A♠,1758816,jennifer-aniston-birth-card
Olivia Wilde,1984-03-10,K♦,1754447,olivia-wilde-birth-card
Zubeen Garg,1972-11-18,2♣,1752863,zubeen-garg-birth-card
Hulk Hogan,1953-08-11,2♦,1752126,hulk-hogan-birth-card
Ferran Torres,2000-02-29,9♣,1750945,ferran-torres-birth-card
Belmont Cameli,1998-02-28,10♣,1747254,belmont-cameli-birth-card
Amy Madigan,1950-09-11,K♣,1743834,amy-madigan-birth-card
Samara Weaving,1992-02-23,2♦,1742487,samara-weaving-birth-card
John Wayne Gacy,1942-03-17,6♦,1740978,john-wayne-gacy-birth-card
Asha Bhosle,1933-09-08,3♦,1739133,asha-bhosle-birth-card
C. Joseph Vijay,1974-06-22,8♣,1736736,c-joseph-vijay-birth-card
OG Anunoby,1997-07-17,J♣,1734642,og-anunoby-birth-card
Rebecca Ferguson,1983-10-19,3♣,1723258,rebecca-ferguson-birth-card
Lamar Odom,1979-11-06,A♦,1719927,lamar-odom-birth-card
Kobe Bryant,1978-08-23,3♣,1712530,kobe-bryant-birth-card
Pedro Pascal,1975-04-02,6♠,1705531,pedro-pascal-birth-card
Thierry Henry,1977-08-17,9♣,1705330,thierry-henry-birth-card
Julián Quiñones,1997-03-24,Q♣,1693157,julián-quiñones-birth-card
Marshawn Kneeland,2001-07-08,7♦,1691329,marshawn-kneeland-birth-card
Janet Jackson,1966-05-16,3♦,1685337,janet-jackson-birth-card
Martin Sheen,1940-08-03,10♦,1680007,martin-sheen-birth-card
Johnny Depp,1963-06-09,8♦,1673333,johnny-depp-birth-card
Edward VII,1841-11-09,J♣,1671471,edward-vii-birth-card
Genghis Khan,1162-05-31,A♣,1669379,genghis-khan-birth-card
Robert F. Kennedy,1925-11-20,K♥,1666382,robert-f-kennedy-birth-card
John Kiriakou,1964-08-09,4♦,1661291,john-kiriakou-birth-card
Gavin Newsom,1967-10-10,Q♣,1657777,gavin-newsom-birth-card
Jim Carrey,1962-01-17,10♦,1654612,jim-carrey-birth-card
Perez Hilton,1978-03-23,K♣,1651846,perez-hilton-birth-card
Mae Martin,1987-05-02,4♠,1646436,mae-martin-birth-card
Kane Parsons,2005-06-18,Q♣,1640376,kane-parsons-birth-card
Amanda Knox,1987-07-09,6♦,1633773,amanda-knox-birth-card
IShowSpeed,2005-01-21,6♦,1632907,ishowspeed-birth-card
Aditya Dhar,1983-03-12,J♦,1631368,aditya-dhar-birth-card
Chester A. Arthur,1829-10-05,4♦,1610019,chester-a-arthur-birth-card
Vanessa Trump,1977-12-18,K♥,1607303,vanessa-trump-birth-card
Sara Arjun,2005-06-18,Q♣,1605798,sara-arjun-birth-card
Milly Alcock,2000-04-11,10♦,1604835,milly-alcock-birth-card
Florence Pugh,1996-01-03,J♠,1603456,florence-pugh-birth-card
Katy Perry,1984-10-25,10♥,1598151,katy-perry-birth-card
Robert De Niro,1943-08-17,9♣,1593393,robert-de-niro-birth-card
Jon Hamm,1971-03-10,K♦,1576595,jon-hamm-birth-card
MrBeast,1998-05-07,Q♦,1574790,mrbeast-birth-card
Aubrey Plaza,1984-06-26,4♣,1571504,aubrey-plaza-birth-card
Rachel McAdams,1978-11-17,3♣,1567589,rachel-mcadams-birth-card
Péter Magyar,1981-03-16,7♦,1565310,péter-magyar-birth-card
Cynthia Erivo,1987-01-08,6♠,1564196,cynthia-erivo-birth-card
Jimmy Kimmel,1967-11-13,7♣,1562940,jimmy-kimmel-birth-card
Jon Ossoff,1987-02-16,9♦,1560607,jon-ossoff-birth-card
Miley Cyrus,1992-11-23,10♥,1542623,miley-cyrus-birth-card
Cher,1946-05-20,Q♣,1536461,cher-birth-card
Matthew McConaughey,1969-11-04,3♦,1534053,matthew-mcconaughey-birth-card
Tupac Shakur,1971-06-16,A♦,1531657,tupac-shakur-birth-card
Tyson Fury,1988-08-12,A♦,1529040,tyson-fury-birth-card
Gina Carano,1982-04-16,5♦,1528614,gina-carano-birth-card
Henry Cavill,1983-05-05,A♠,1516269,henry-cavill-birth-card
Tiger Woods,1975-12-30,A♥,1495435,tiger-woods-birth-card
Canelo Álvarez,1990-07-18,10♣,1480132,canelo-álvarez-birth-card
Nicholas Brendon,1971-04-12,9♦,1477915,nicholas-brendon-birth-card
Romelu Lukaku,1993-05-13,6♦,1470907,romelu-lukaku-birth-card
Stephen Curry,1988-03-14,9♦,1467027,stephen-curry-birth-card
O. J. Simpson,1947-07-09,6♦,1465162,o-j-simpson-birth-card
Jonathan Bailey,1988-04-25,9♣,1460908,jonathan-bailey-birth-card
Olivia Cooke,1993-12-27,4♥,1460316,olivia-cooke-birth-card
Annette Bening,1958-05-29,3♣,1457447,annette-bening-birth-card
Michelle Pfeiffer,1958-04-29,5♣,1455583,michelle-pfeiffer-birth-card
Osama bin Laden,1957-03-10,K♦,1453008,osama-bin-laden-birth-card
Reid Wiseman,1975-11-11,9♣,1435839,reid-wiseman-birth-card
Sally Field,1946-11-06,A♦,1430956,sally-field-birth-card
Charles J. Guiteau,1841-09-08,3♦,1426697,charles-j-guiteau-birth-card
Virat Kohli,1988-11-05,2♦,1424948,virat-kohli-birth-card
John Cena,1977-04-23,J♣,1421027,john-cena-birth-card
Jack Schlossberg,1993-01-19,8♦,1419836,jack-schlossberg-birth-card
Ozzy Osbourne,1948-12-03,2♦,1419064,ozzy-osbourne-birth-card
Pralhad Joshi,1962-11-27,6♥,1418676,pralhad-joshi-birth-card
Che Guevara,1928-06-14,3♦,1417262,che-guevara-birth-card
Billy Bob Thornton,1955-08-04,9♦,1411595,billy-bob-thornton-birth-card
Priyanka Chopra,1982-07-18,10♣,1406081,priyanka-chopra-birth-card
Milo Ventimiglia,1977-07-08,7♦,1397081,milo-ventimiglia-birth-card
Shaquille O'Neal,1972-03-06,4♠,1394126,shaquille-oneal-birth-card
Melissa Hortman,1970-05-27,5♣,1392189,melissa-hortman-birth-card
"Katharine, Duchess of Kent",1933-02-22,3♦,1391866,katharine-duchess-of-kent-birth-card
Kim Kardashian,1980-10-21,A♣,1390320,kim-kardashian-birth-card
Joe Kent,1980-04-11,10♦,1389727,joe-kent-birth-card
Richard Nixon,1913-01-09,5♠,1389314,richard-nixon-birth-card
Giorgio Armani,1934-07-11,4♦,1387873,giorgio-armani-birth-card
Lupita Nyong'o,1983-03-01,9♠,1383694,lupita-nyongo-birth-card
Angus Cloud,1998-07-10,5♦,1380918,angus-cloud-birth-card
Karl-Anthony Towns,1995-11-15,5♣,1379579,karl-anthony-towns-birth-card
Jason Bateman,1969-01-14,K♦,1379405,jason-bateman-birth-card
Charles Manson,1934-11-12,8♣,1379400,charles-manson-birth-card
Robert Mueller,1944-08-07,6♦,1378310,robert-mueller-birth-card
Mamata Banerjee,1955-01-05,9♠,1363424,mamata-banerjee-birth-card
Noah Kahan,1997-01-01,K♠,1360654,noah-kahan-birth-card
Mark Wahlberg,1971-06-05,Q♦,1351303,mark-wahlberg-birth-card
Islam Makhachev,1991-10-27,8♥,1351254,islam-makhachev-birth-card
Marcus Rashford,1997-10-31,4♥,1347246,marcus-rashford-birth-card
Julia Roberts,1967-10-28,7♥,1342631,julia-roberts-birth-card
Glen Powell,1988-10-21,A♣,1340028,glen-powell-birth-card
Michael J. Fox,1961-06-09,8♦,1331440,michael-j-fox-birth-card
Sandra Bullock,1964-07-26,2♣,1329243,sandra-bullock-birth-card
"William, Prince of Wales",1982-06-21,9♣,1327176,william-prince-of-wales-birth-card
Muhammad Ali,1942-01-17,10♦,1325718,muhammad-ali-birth-card
Tito Jackson,1953-10-15,7♣,1315775,tito-jackson-birth-card
Cesar Chavez,1927-03-31,5♣,1315680,cesar-chavez-birth-card
Simon Baker,1969-10-10,Q♣,1315150,simon-baker-birth-card
Laura Loomer,1993-05-21,J♣,1311580,laura-loomer-birth-card
Larry Ellison,1944-08-17,9♣,1310169,larry-ellison-birth-card
Cillian Murphy,1976-05-25,7♣,1308091,cillian-murphy-birth-card
Shohei Ohtani,1994-07-05,10♦,1301144,shohei-ohtani-birth-card
Candace Owens,1989-04-29,5♣,1299123,candace-owens-birth-card
Hilary Duff,1987-09-28,9♥,1297637,hilary-duff-birth-card
Claire Danes,1979-04-12,9♦,1295874,claire-danes-birth-card
Marie Antoinette,1755-11-02,5♦,1295343,marie-antoinette-birth-card
Tulsi Gabbard,1981-04-12,9♦,1293924,tulsi-gabbard-birth-card
Margot Robbie,1990-07-02,K♦,1291418,margot-robbie-birth-card
James Marsden,1973-09-18,6♣,1289767,james-marsden-birth-card
Lane Kiffin,1975-05-09,10♦,1288681,lane-kiffin-birth-card
Minka Kelly,1980-06-24,6♣,1288263,minka-kelly-birth-card
Sacha Baron Cohen,1971-10-13,9♣,1286865,sacha-baron-cohen-birth-card
Mika Abdalla,2000-05-13,6♦,1286214,mika-abdalla-birth-card
Trisha Krishnan,1983-05-04,2♠,1285891,trisha-krishnan-birth-card
Georgina Rodríguez,1994-01-27,K♣,1285063,georgina-rodríguez-birth-card
John Krasinski,1979-10-20,2♣,1284824,john-krasinski-birth-card
Elizabeth Taylor,1932-02-27,J♣,1276278,elizabeth-taylor-birth-card
Stephen Graham,1973-08-03,10♦,1274245,stephen-graham-birth-card
Giorgia Meloni,1977-01-15,Q♦,1274239,giorgia-meloni-birth-card
Yan Diomande,2006-11-14,6♣,1273565,yan-diomande-birth-card
Stella Lefty,2002-08-13,K♣,1271533,stella-lefty-birth-card
George H. W. Bush,1924-06-12,5♦,1268143,george-h-w-bush-birth-card
Curtis Sliwa,1954-03-26,10♣,1260318,curtis-sliwa-birth-card
Aaron Rai,1995-03-03,7♠,1259716,aaron-rai-birth-card
Samantha Morton,1977-05-13,6♦,1254762,samantha-morton-birth-card
Mikel Oyarzabal,1997-04-21,K♣,1253327,mikel-oyarzabal-birth-card
Natalie Portman,1981-06-09,8♦,1252827,natalie-portman-birth-card
Tatiana Schlossberg,1990-05-05,A♠,1251688,tatiana-schlossberg-birth-card
Taron Egerton,1989-11-10,10♣,1250137,taron-egerton-birth-card
Jake Gyllenhaal,1980-12-19,Q♥,1247259,jake-gyllenhaal-birth-card
Ed Harris,1950-11-28,5♥,1247250,ed-harris-birth-card
Muhammad,0571-04-20,A♦,1247208,muhammad-birth-card
Jeffrey Manchester,1971-11-12,8♣,1247195,jeffrey-manchester-birth-card
Masoud Pezeshkian,1954-09-29,8♥,1245872,masoud-pezeshkian-birth-card
Ralph Fiennes,1962-12-22,9♥,1242948,ralph-fiennes-birth-card
Connor Storrie,2000-02-22,3♦,1239792,connor-storrie-birth-card
Rick Brunson,1972-06-14,3♦,1231214,rick-brunson-birth-card
Raye,1997-10-24,J♥,1230194,raye-birth-card
Kaylee Hottle,2008-03-17,6♦,1229729,kaylee-hottle-birth-card
Travis Kelce,1989-10-05,4♦,1223563,travis-kelce-birth-card
Declan Rice,1999-01-14,K♦,1221726,declan-rice-birth-card
Bukayo Saka,2001-09-05,6♦,1221265,bukayo-saka-birth-card
Suvendu Adhikari,1970-12-15,3♣,1216768,suvendu-adhikari-birth-card
Christy Martin,1968-06-12,5♦,1204176,christy-martin-birth-card
Lewis Pullman,1993-01-29,J♣,1204065,lewis-pullman-birth-card
Scooter Braun,1981-06-18,Q♣,1184477,scooter-braun-birth-card
Priscilla Presley,1945-05-24,8♣,1179673,priscilla-presley-birth-card
Sawyer Sweeten,1995-05-12,7♦,1176126,sawyer-sweeten-birth-card
Judy Garland,1922-06-10,7♦,1173825,judy-garland-birth-card
Kirsten Dunst,1982-04-30,4♣,1172691,kirsten-dunst-birth-card
Benny Safdie,1986-02-24,A♦,1172304,benny-safdie-birth-card
Eddie Murphy,1961-04-03,5♠,1172013,eddie-murphy-birth-card
Ali Larijani,1958-06-03,A♠,1167882,ali-larijani-birth-card
Jason Sudeikis,1975-09-18,6♣,1163903,jason-sudeikis-birth-card
Phil Collins,1951-01-30,10♣,1162859,phil-collins-birth-card
Amanda Anisimova,2001-08-31,8♥,1162618,amanda-anisimova-birth-card
