name|birth_year|birth_month|birth_day|enwiki_views_8mo
David Attenborough|1926|5|8|3505914
Freddie Mercury|1946|9|5|3503948
Daveigh Chase|1990|7|24|3477679
Elvis Presley|1935|1|8|3397639
Emily Blunt|1983|2|23|3341836
Hermann Göring|1893|1|12|3270520
Lisa Marie Presley|1968|2|1|3264599
Kristi Noem|1971|11|30|3219086
Callum Turner|1990|2|15|3201125
Charlize Theron|1975|8|7|3198218
Mitch McConnell|1942|2|20|3193213
Lewis Hamilton|1985|1|7|3179523
Rama Duwaji|1997|6|30|3129745
George Washington|1732|2|22|3099436
Matt Damon|1970|10|8|3059204
Curry Barker|1999|9|22|3044827
Charlie Sheen|1965|9|3|3034800
Hunter Schafer|1998|12|31|3008915
Jeffrey Dahmer|1960|5|21|2999177
Kyle Busch|1985|5|2|2997800
Joe Biden|1942|11|20|2993622
Michael Jordan|1963|2|17|2992688
Karoline Leavitt|1997|8|24|2982861
Brad Pitt|1963|12|18|2970396
Bonnie Tyler|1951|6|8|2967854
Robert F. Kennedy Jr.|1954|1|17|2965173
Margaret Qualley|1994|10|23|2958183
Paul McCartney|1942|6|18|2949779
Nicole Kidman|1967|6|20|2948630
Robin Williams|1951|7|21|2910106
Abraham Lincoln|1809|2|12|2886198
Dwayne Johnson|1972|5|2|2863772
George W. Bush|1946|7|6|2858650
Zlatan Ibrahimović|1981|10|3|2857827
Alan Ritchson|1982|11|28|2848034
Ousmane Dembélé|1997|5|15|2836043
Amelia Dimoldenberg|1994|1|30|2834550
Ted Bundy|1946|11|24|2806009
Elliot Page|1987|2|21|2804153
Steve Jobs|1955|2|24|2796064
Jon Bernthal|1976|9|20|2795658
Sylvester Stallone|1946|7|6|2778642
James Talarico|1989|5|17|2759544
José Mourinho|1963|1|26|2759297
Melania Trump|1970|4|26|2735466
Heath Ledger|1979|4|4|2730878
Steven Spielberg|1946|12|18|2710985
Marilyn Monroe|1926|6|1|2702058
Mia Khalifa|1993|2|10|2700597
Ella Langley|1999|5|3|2698949
Wladimir Klitschko|1976|3|25|2693736
Theodore Roosevelt|1858|10|27|2687926
Sabrina Carpenter|1999|5|11|2681273
Harrison Ford|1942|7|13|2658034
Joe Jackson (talent manager)|1928|7|26|2656906
George VI|1895|12|14|2648639
Napoleon|1769|8|15|2638576
Matthew Rhys|1974|11|8|2616909
Markwayne Mullin|1977|7|26|2589426
Paul Thomas Anderson|1970|6|26|2578130
Ronald Reagan|1911|2|6|2573278
Eric Dane|1972|11|9|2564111
Bob Dylan|1941|5|24|2554401
Dawood Ibrahim|1955|12|26|2551199
Katherine Jackson|1930|5|4|2540076
Jessie Buckley|1989|12|28|2530044
Mohamed Salah|1992|6|15|2524192
Harry Styles|1994|2|1|2524046
Mira Nair|1957|10|15|2503516
Paris Jackson|1998|4|3|2497706
Jason Statham|1967|7|26|2497569
Jacqueline Kennedy Onassis|1929|7|28|2486770
Taylor Sheridan|1970|5|21|2485720
Joseph Stalin|1878|12|18|2477259
Diego Maradona|1960|10|30|2475921
Spencer Pratt|1983|8|14|2462613
Kate Hudson|1979|4|19|2455933
Tom Hanks|1956|7|9|2417080
Vladimir Putin|1952|10|7|2407485
Novak Djokovic|1987|5|22|2398402
Anthony Bourdain|1956|6|25|2354713
Sophie Cunningham|1996|8|16|2347324
David Bowie|1947|1|8|2345589
Debbie Rowe|1958|12|6|2318420
Rory McIlroy|1989|5|4|2294855
George V|1865|6|3|2290265
Caroline Kennedy|1957|11|27|2285777
Hannah Waddingham|1974|7|28|2284723
Aryna Sabalenka|1998|5|5|2281579
Anya Taylor-Joy|1996|4|16|2272427
Alexander Zverev|1997|4|20|2271800
Ruhollah Khomeini|1902|9|24|2268011
Mia Goth|1993|10|25|2265858
Morena Baccarin|1979|6|2|2263064
Ryan Reynolds|1976|10|23|2260216
Dakota Johnson|1989|10|4|2248217
Ronaldinho|1980|3|21|2225812
Conor McGregor|1988|7|14|2213277
Christian Pulisic|1998|9|18|2207487
Winston Churchill|1874|11|30|2202755
Zion Suzuki|2002|8|21|2198757
Eva Mendes|1974|3|5|2197777
Sam Altman|1985|4|22|2194819
Thomas Tuchel|1973|8|29|2177744
Colman Domingo|1969|11|28|2148898
Nicolas Cage|1964|1|7|2146479
Glen Hansard|1970|4|21|2144078
Zoë Kravitz|1988|12|1|2135962
Stanley Tucci|1960|11|11|2129202
Elle Fanning|1998|4|9|2128971
Macaulay Culkin|1980|8|26|2120322
Pam Bondi|1965|11|17|2108046
Graham Platner|1984|9|1|2104152
Sean Penn|1960|8|17|2100354
Hailee Steinfeld|1996|12|11|2092495
Kylie Jenner|1997|8|10|2085489
Olivia Dean|1999|3|14|2062361
Val Kilmer|1959|12|31|2061910
Zinedine Zidane|1972|6|23|2059659
Dick Van Dyke|1925|12|13|2048780
Diana, Princess of Wales|1961|7|1|2033562
Jennifer Lawrence|1990|8|15|2016474
Mahmood Mamdani|1946|4|23|2012608
Arthur Fery|2002|7|12|2009933
Dwight D. Eisenhower|1890|10|14|1999672
John Lennon|1940|10|9|1987840
Dakota Fanning|1994|2|23|1986386
Marco Rubio|1971|5|28|1969472
Kurt Russell|1951|3|17|1965799
Bill Clinton|1946|8|19|1962340
Eric Swalwell|1980|11|16|1961745
Sonam Wangchuk|1966|9|1|1954930
Ricky Hatton|1978|10|6|1951042
Noah Wyle|1971|6|4|1941763
Nicholas Galitzine|1994|9|29|1929448
Michael B. Jordan|1987|2|9|1912935
Mauricio Pochettino|1972|3|2|1910470
Mckenna Grace|2006|6|25|1909105
Edward VIII|1894|6|23|1906279
Pelé|1940|10|23|1875204
Carlos Alcaraz|2003|5|5|1866436
Jason Momoa|1979|8|1|1865934
Keke Palmer|1993|8|26|1858301
Javier Bardem|1969|3|1|1855828
Ted Turner|1938|11|19|1844678
Ghislaine Maxwell|1961|12|25|1843064
Andrew Tate|1986|12|14|1842941
Zoey Deutch|1994|11|10|1825568
Terence Crawford|1987|9|28|1824798
Demi Moore|1962|11|11|1817400
Michelle Trachtenberg|1985|10|11|1816818
Jennifer Lopez|1969|7|24|1816320
Chase Infiniti|2000|5|1|1807674
Naomi Osaka|1997|10|16|1793995
Anthony Head|1954|2|20|1792081
Carlo Acutis|1991|5|3|1791097
Teyana Taylor|1990|12|10|1784168
Ella Bright|2006|11|27|1773164
Kelly Reilly|1977|7|18|1766985
Jennifer Aniston|1969|2|11|1758816
Olivia Wilde|1984|3|10|1754447
Zubeen Garg|1972|11|18|1752863
Hulk Hogan|1953|8|11|1752126
Ferran Torres|2000|2|29|1750945
Belmont Cameli|1998|2|28|1747254
Amy Madigan|1950|9|11|1743834
Samara Weaving|1992|2|23|1742487
John Wayne Gacy|1942|3|17|1740978
Asha Bhosle|1933|9|8|1739133
C. Joseph Vijay|1974|6|22|1736736
OG Anunoby|1997|7|17|1734642
Rebecca Ferguson|1983|10|19|1723258
Lamar Odom|1979|11|6|1719927
Kobe Bryant|1978|8|23|1712530
Pedro Pascal|1975|4|2|1705531
Thierry Henry|1977|8|17|1705330
Julián Quiñones|1997|3|24|1693157
Marshawn Kneeland|2001|7|8|1691329
Janet Jackson|1966|5|16|1685337
Martin Sheen|1940|8|3|1680007
Johnny Depp|1963|6|9|1673333
Edward VII|1841|11|9|1671471
Genghis Khan|1162|5|31|1669379
Robert F. Kennedy|1925|11|20|1666382
John Kiriakou|1964|8|9|1661291
Gavin Newsom|1967|10|10|1657777
Jim Carrey|1962|1|17|1654612
Perez Hilton|1978|3|23|1651846
Mae Martin|1987|5|2|1646436
Kane Parsons|2005|6|18|1640376
Amanda Knox|1987|7|9|1633773
IShowSpeed|2005|1|21|1632907
Aditya Dhar|1983|3|12|1631368
Chester A. Arthur|1829|10|5|1610019
Vanessa Trump|1977|12|18|1607303
Sara Arjun|2005|6|18|1605798
Milly Alcock|2000|4|11|1604835
Florence Pugh|1996|1|3|1603456
Katy Perry|1984|10|25|1598151
Robert De Niro|1943|8|17|1593393
Jon Hamm|1971|3|10|1576595
MrBeast|1998|5|7|1574790
Aubrey Plaza|1984|6|26|1571504
Rachel McAdams|1978|11|17|1567589
Péter Magyar|1981|3|16|1565310
Cynthia Erivo|1987|1|8|1564196
Jimmy Kimmel|1967|11|13|1562940
Jon Ossoff|1987|2|16|1560607
Miley Cyrus|1992|11|23|1542623
Cher|1946|5|20|1536461
Matthew McConaughey|1969|11|4|1534053
Tupac Shakur|1971|6|16|1531657
Tyson Fury|1988|8|12|1529040
Gina Carano|1982|4|16|1528614
Henry Cavill|1983|5|5|1516269
Tiger Woods|1975|12|30|1495435
Canelo Álvarez|1990|7|18|1480132
Nicholas Brendon|1971|4|12|1477915
Romelu Lukaku|1993|5|13|1470907
Stephen Curry|1988|3|14|1467027
O. J. Simpson|1947|7|9|1465162
Jonathan Bailey|1988|4|25|1460908
Olivia Cooke|1993|12|27|1460316
Annette Bening|1958|5|29|1457447
Michelle Pfeiffer|1958|4|29|1455583
Osama bin Laden|1957|3|10|1453008
Reid Wiseman|1975|11|11|1435839
Sally Field|1946|11|6|1430956
Charles J. Guiteau|1841|9|8|1426697
Virat Kohli|1988|11|5|1424948
John Cena|1977|4|23|1421027
Jack Schlossberg|1993|1|19|1419836
Ozzy Osbourne|1948|12|3|1419064
Pralhad Joshi|1962|11|27|1418676
Che Guevara|1928|6|14|1417262
Billy Bob Thornton|1955|8|4|1411595
Priyanka Chopra|1982|7|18|1406081
Milo Ventimiglia|1977|7|8|1397081
Shaquille O'Neal|1972|3|6|1394126
Melissa Hortman|1970|5|27|1392189
Katharine, Duchess of Kent|1933|2|22|1391866
Kim Kardashian|1980|10|21|1390320
Joe Kent|1980|4|11|1389727
Richard Nixon|1913|1|9|1389314
Giorgio Armani|1934|7|11|1387873
Lupita Nyong'o|1983|3|1|1383694
Angus Cloud|1998|7|10|1380918
Karl-Anthony Towns|1995|11|15|1379579
Jason Bateman|1969|1|14|1379405
Charles Manson|1934|11|12|1379400
Robert Mueller|1944|8|7|1378310
Mamata Banerjee|1955|1|5|1363424
Noah Kahan|1997|1|1|1360654
Mark Wahlberg|1971|6|5|1351303
Islam Makhachev|1991|10|27|1351254
Marcus Rashford|1997|10|31|1347246
Julia Roberts|1967|10|28|1342631
Glen Powell|1988|10|21|1340028
Michael J. Fox|1961|6|9|1331440
Sandra Bullock|1964|7|26|1329243
William, Prince of Wales|1982|6|21|1327176
Muhammad Ali|1942|1|17|1325718
Tito Jackson|1953|10|15|1315775
Cesar Chavez|1927|3|31|1315680
Simon Baker|1969|10|10|1315150
Laura Loomer|1993|5|21|1311580
Larry Ellison|1944|8|17|1310169
Cillian Murphy|1976|5|25|1308091
Shohei Ohtani|1994|7|5|1301144
Candace Owens|1989|4|29|1299123
Hilary Duff|1987|9|28|1297637
Claire Danes|1979|4|12|1295874
Marie Antoinette|1755|11|2|1295343
Tulsi Gabbard|1981|4|12|1293924
Margot Robbie|1990|7|2|1291418
James Marsden|1973|9|18|1289767
Lane Kiffin|1975|5|9|1288681
Minka Kelly|1980|6|24|1288263
Sacha Baron Cohen|1971|10|13|1286865
Mika Abdalla|2000|5|13|1286214
Trisha Krishnan|1983|5|4|1285891
Georgina Rodríguez|1994|1|27|1285063
John Krasinski|1979|10|20|1284824
Elizabeth Taylor|1932|2|27|1276278
Stephen Graham|1973|8|3|1274245
Giorgia Meloni|1977|1|15|1274239
Yan Diomande|2006|11|14|1273565
Stella Lefty|2002|8|13|1271533
George H. W. Bush|1924|6|12|1268143
Curtis Sliwa|1954|3|26|1260318
Aaron Rai|1995|3|3|1259716
Samantha Morton|1977|5|13|1254762
Mikel Oyarzabal|1997|4|21|1253327
Natalie Portman|1981|6|9|1252827
Tatiana Schlossberg|1990|5|5|1251688
Taron Egerton|1989|11|10|1250137
Jake Gyllenhaal|1980|12|19|1247259
Ed Harris|1950|11|28|1247250
Muhammad|571|4|20|1247208
Jeffrey Manchester|1971|11|12|1247195
Masoud Pezeshkian|1954|9|29|1245872
Ralph Fiennes|1962|12|22|1242948
Connor Storrie|2000|2|22|1239792
Rick Brunson|1972|6|14|1231214
Raye|1997|10|24|1230194
Kaylee Hottle|2008|3|17|1229729
Travis Kelce|1989|10|5|1223563
Declan Rice|1999|1|14|1221726
Bukayo Saka|2001|9|5|1221265
Suvendu Adhikari|1970|12|15|1216768
Christy Martin|1968|6|12|1204176
Lewis Pullman|1993|1|29|1204065
Scooter Braun|1981|6|18|1184477
Priscilla Presley|1945|5|24|1179673
Sawyer Sweeten|1995|5|12|1176126
Judy Garland|1922|6|10|1173825
Kirsten Dunst|1982|4|30|1172691
Benny Safdie|1986|2|24|1172304
Eddie Murphy|1961|4|3|1172013
Ali Larijani|1958|6|3|1167882
Jason Sudeikis|1975|9|18|1163903
Phil Collins|1951|1|30|1162859
Amanda Anisimova|2001|8|31|1162618
Leandro Paredes|1994|6|29|1158481
Vinícius Júnior|2000|7|12|1156774
Hannah Einbinder|1995|5|21|1154946
Deniz Undav|1996|7|19|1154312
Emma D'Arcy|1992|6|27|1153924
Megan Fox|1986|5|16|1153845
Alysa Liu|2005|8|8|1150124
Brandon Clarke|1996|9|19|1143860
Patrick Muldoon|1968|9|27|1143241
Jack White|1975|7|9|1142869
Rafael Nadal|1986|6|3|1142548
Jane Fonda|1937|12|21|1142351
Ethan Hawke|1970|11|6|1142174
Jared Kushner|1981|1|10|1138282
Adam Sandler|1966|9|9|1137629
Ilia Topuria|1997|1|21|1133510
Josh Hokit|1997|11|12|1132908
Bryan Cranston|1956|3|7|1128854
Didier Deschamps|1968|10|15|1127430
Alexandria Ocasio-Cortez|1989|10|13|1125702
James Rodríguez|1991|7|12|1125381
Monica Barbaro|1990|6|17|1121903
Robert Lewandowski|1988|8|21|1119320
Zoe Saldaña|1978|6|19|1116155
Barry Keoghan|1992|10|17|1113005
Blake Lively|1987|8|25|1108364
Ben Affleck|1972|8|15|1107506
Jayden Adams|2001|5|5|1106200
Sharvari|1996|6|14|1102632
Mahatma Gandhi|1869|10|2|1102261
Taylor Dearden|1993|2|12|1098926
Christa Pike|1976|3|10|1098768
Djed Spence|2000|8|9|1098172
Jensen Huang|1963|2|17|1097555
Steve Hilton|1969|8|25|1097019
Dharmendra Pradhan|1969|6|26|1096045
Mahmoud Ahmadinejad|1956|10|28|1092672
Mitch Johnson|1986|11|29|1092573
Oscar Isaac|1979|3|9|1091926
Andoni Iraola|1982|6|22|1089750
James Handy|1945|3|19|1089690
Hudson Williams|2001|2|13|1085744
Anna Faris|1976|11|29|1085061
Barron Trump|2006|3|20|1084059
Shia LaBeouf|1986|6|11|1083575
Al Pacino|1940|4|25|1081765
Diogo Jota|1996|12|4|1074678
Katherine LaNasa|1966|12|1|1071176
David Harbour|1975|4|10|1070897
Tom Hardy|1977|9|15|1070825
Alexandra Eala|2005|5|23|1070646
Nikki Rodriguez|1992|3|7|1070494
Jack Nicholson|1937|4|22|1070404
Brendan Fraser|1968|12|3|1067633
Emma Thomas|1971|12|9|1067082
Dylan Harper|2006|3|2|1060712
Armie Hammer|1986|8|28|1056715
Suki Waterhouse|1992|1|5|1055819
Mel Gibson|1956|1|3|1053716
Keri Russell|1976|3|23|1051325
Ester Expósito|2000|1|26|1046062
Kylie Minogue|1968|5|28|1045739
Achraf Hakimi|1998|11|4|1042907
Jake Bongiovi|2002|5|7|1040393
Jamie Vardy|1987|1|11|1039089
Hero Fiennes Tiffin|1997|11|6|1037198
Stefon Diggs|1993|11|29|1033423
Raghav Chadha|1988|11|11|1032482
Emiliano Martínez|1992|9|1|1028881
Catherine O'Hara|1954|3|4|1028415
Tom Brady|1977|8|3|1028291
Carlo Ancelotti|1959|6|10|1028235
Sanju Samson|1994|11|11|1024331
Nico Williams|2002|7|12|1023586
Jeremy Clarkson|1960|4|11|1021982
Sarah Shahi|1980|1|10|1020316
Alexis Mac Allister|1998|12|24|1013033
Enzo Fernández|2001|1|17|1012345
James Van Der Beek|1977|3|8|1011618
Donald Trump Jr.|1977|12|31|1009830
Andrew Cuomo|1957|12|6|1008903
Alexander Hamilton|1757|1|11|1007630
Timothy Olyphant|1968|5|20|1005635
Marjorie Taylor Greene|1974|5|27|1004802
Antoine Griezmann|1991|3|21|1004037
Justin Trudeau|1971|12|25|1003523
Rupert Murdoch|1931|3|11|1002406
Emmy Rossum|1986|9|12|1001857
Sandra Hüller|1978|4|30|1001775
Rosamund Pike|1979|1|27|1001310
Jeremy Hansen|1976|1|27|1000421
Pierce Brosnan|1953|5|16|998561
Alexander Isak|1999|9|21|997707
Joshua Kushner|1985|6|12|997608
Aileen Wuornos|1956|2|29|994603
Shai Gilgeous-Alexander|1998|7|12|991655
Jack Antonoff|1984|3|31|991518
Thomas Massie|1971|1|13|988094
Jamie Lee Curtis|1958|11|22|982968
Shelley Fabares|1944|1|19|981364
Chris Hansen|1959|9|13|981308
Diane Keaton|1946|1|5|981163
Abigail Spanberger|1979|8|7|979406
Liam Neeson|1952|6|7|979214
Robert Napper|1966|2|25|975762
John Candy|1950|10|31|969121
Himesh Patel|1990|10|13|965776
Xi Jinping|1953|6|15|965446
Raúl Jiménez|1991|5|5|964728
Viktor Orbán|1963|5|31|963780
Diane Ladd|1935|11|29|963720
Alexander Skarsgård|1976|8|25|963176
Prince Edward, Duke of Kent|1935|10|9|960904
AJ Lee|1987|3|19|960684
Claude Lemieux|1965|7|16|956162
Troy Parrott|2002|2|4|954894
Vanessa Kirby|1988|4|18|953759
Lena Dunham|1986|5|13|953552
Selena Gomez|1992|7|22|951272
Jared Leto|1971|12|26|946276
Justin Theroux|1971|8|10|942255
Justin Gaethje|1988|11|14|941672
Stephen Colbert|1964|5|13|940565
Andy Weir|1972|6|16|938438
Alf-Inge Haaland|1972|11|23|933243
Christopher Abbott|1986|2|1|931352
Lionel Scaloni|1978|5|16|928899
La Toya Jackson|1956|5|29|925910
Caitlin Clark|2002|1|22|924976
Serena Williams|1981|9|26|922916
Anthony Joshua|1989|10|15|921960
Ejae|1991|12|6|920732
Cameron Diaz|1972|8|30|919260
Luke Grimes|1984|1|21|917418
Josh Brolin|1968|2|12|911451
Anthony Fauci|1940|12|24|911064
Xavier Becerra|1958|1|26|909590
Josh Allen|1996|5|21|909108
Félix Auger-Aliassime|2000|8|8|907936
Gary Oldman|1958|3|21|906188
Jennifer Garner|1972|4|17|904404
Anna Wintour|1949|11|3|899973
Jude Law|1972|12|29|896848
Bruce Springsteen|1949|9|23|896225
Kimberly Guilfoyle|1969|3|9|893847
Dennis Rader|1945|3|9|893384
Alexi Lalas|1970|6|1|887514
Dianna Russini|1983|2|11|885203
Reza Pahlavi|1960|10|31|884172
David Jonsson|1993|9|4|883717
Zack Polanski|1982|11|2|880146
Milo Yiannopoulos|1984|10|18|879915
Geena Davis|1956|1|21|876743
David Allan Coe|1939|9|6|873460
Chappell Roan|1998|2|19|872565
Smriti Mandhana|1996|7|18|872284
Brittany Snow|1986|3|9|868954
Sheryl Underwood|1963|10|28|868740
Ronda Rousey|1987|2|1|864951
Mikie Sherrill|1972|1|19|860195
Victor Glover|1976|4|30|859405
Camila Morrone|1997|6|16|858954
Jenna Ortega|2002|9|27|858494
Horst Wessel|1907|10|9|855305
Olivia Munn|1980|7|3|854125
Brittany Murphy|1977|11|10|853210
Steve Carell|1962|8|16|849972
Tom Read Wilson|1986|11|12|849142
Tommy Robinson|1982|11|27|848873
Antony Starr|1975|10|25|848630
Alison Brie|1982|12|29|847426
Emilio Estevez|1962|5|12|846194
Dan Hurley|1973|1|16|845503
Pablo Escobar|1949|12|1|844827
Assata Shakur|1947|7|16|843725
Penélope Cruz|1974|4|28|843322
Stephon Castle|2004|11|1|841626
Luca Zidane|1998|5|13|840445
Angela Rayner|1980|3|28|839116
Jimmy Tatro|1992|2|16|837515
Wyatt Russell|1986|7|10|837252
Saddam Hussein|1937|4|28|835891
Hillel Slovak|1962|4|13|833216
Bradley Cooper|1975|1|5|832255
Rami Malek|1981|5|12|828729
Antonela Roccuzzo|1988|2|26|825645
S. Janaki|1938|4|23|823140
Britney Spears|1981|12|2|822842
Martin Short|1950|3|26|822351
Cooper Tomlinson|1999|1|11|820416
Tony Hinchcliffe|1984|6|8|820145
Lauren Bennett|1989|6|23|818581
Quentin Tarantino|1963|3|27|815096
Aaron Rodgers|1983|12|2|813187
Keiko Fujimori|1975|5|25|813186
Ruby Wax|1953|4|19|813122
Hema Malini|1948|10|16|812640
Shabana Mahmood|1980|9|17|810704
Pau Cubarsí|2007|1|22|807050
Nitish Kumar|1951|3|1|805158
J. J. McCarthy|2003|1|20|803570
Alfred Molina|1953|5|24|803541
Kate Mara|1983|2|27|801272
Lola Van Wagenen|1938|12|12|801036
Jackie Jackson|1951|5|4|800287
Rashmika Mandanna|1996|4|5|799573
Dominic Holland|1967|5|6|798642
Daryl Hannah|1960|12|3|796480
Linda Cardellini|1975|6|25|795063
Jimmy Carter|1924|10|1|792576
Louis Theroux|1970|5|20|792447
Luis Suárez|1987|1|24|790551
Ranveer Singh|1985|7|6|789573
William the Conqueror|1028|11|8|788900
Ilyas Kashmiri|1964|2|10|787470
Miles Teller|1987|2|20|787458
Stevie Nicks|1948|5|26|786638
Tom Steyer|1957|6|27|786011
Megan Lawless|2000|4|11|785699
Juno Temple|1989|7|21|785146
Barbra Streisand|1942|4|24|784859
Jennifer Runyon|1960|4|1|783251
Edwin Schlossberg|1945|7|19|782483
Clive Davis|1932|4|4|779499
Wes Streeting|1983|1|21|778164
Uzair Baloch|1979|1|11|777936
Isa Briones|1999|1|17|774459
Darline Graham|1964|6|12|771966
Rose Schlossberg|1988|6|25|770974
Preity Mukhundhan|2001|7|30|770407
Karl Urban|1972|6|7|769804
Arch Manning|2005|4|27|768653
M. K. Stalin|1953|3|1|768542
Mariska Hargitay|1964|1|23|767536
Rebbie Jackson|1950|5|29|764616
Liza Minnelli|1946|3|12|761339
Jensen Ackles|1978|3|1|760152
Gaspi|2002|12|28|759659
Jack Quaid|1992|4|24|757514
Rachel Weisz|1970|3|7|756955
Ali Larter|1976|2|28|754135
Wyndham Clark|1993|12|9|753861
Giannis Antetokounmpo|1994|12|6|752523
Linda Nosková|2004|11|17|751755
Xabi Alonso|1981|11|25|751560
Rick Pitino|1952|9|18|750202
Courtney Stodden|1994|8|29|750092
Antonio Cipriano|2000|5|13|745419
Christos Tzolis|2002|1|30|742383
John Travolta|1954|2|18|741795
Ismael Saibari|2001|1|28|741785
Guillermo del Toro|1964|10|9|741152
Kevin De Bruyne|1991|6|28|740635
Jesse Plemons|1988|4|2|740435
Wayne Rooney|1985|10|24|740387
Shawn Hatosy|1975|12|29|737350
Sushila Karki|1952|6|7|735859
Richard Burton|1925|11|10|734434
Heidi Montag|1986|9|15|733041
Natalia Dyer|1995|1|13|731780
Ryan Coogler|1986|5|23|728450
Roberto Martínez|1973|7|13|727891
Calvin Klein|1942|11|19|727231
Marjane Satrapi|1969|11|22|725334
Antonio Nusa|2005|4|17|722362
Julián Alvarez|2000|1|31|721871
Eric Lefkofsky|1969|9|13|718262
Lily Allen|1985|5|2|717677
Amanda Peet|1972|1|11|716787
Jimmy Savile|1926|10|31|716672
Rod Stewart|1945|1|10|714229
Geetu Mohandas|1981|2|14|713907
Malik Tillman|2002|5|28|711978
Charlie Heaton|1994|2|6|710542
Diego Simeone|1970|4|28|709125
Regina Hall|1970|12|12|708237
Mary Steenburgen|1953|2|8|707006
Mirra Andreeva|2007|4|29|705309
Stephen King|1947|9|21|704832
Liam Rosenior|1984|7|9|701990
Helen Mirren|1945|7|26|701804
Yassine Bounou|1991|4|5|701081
Cole Hauser|1975|3|22|700689
Ryan Wedding|1981|9|14|700166
Kelly Brook|1979|11|23|699644
Corey Lewandowski|1973|9|18|697678
Oleksandr Usyk|1987|1|17|695658
Kumail Nanjiani|1978|5|2|694977
Brock Lesnar|1977|7|12|694767
Cleto Escobedo III|1966|8|23|694335
Lola Tung|2002|10|28|693740
Elaine Chao|1953|3|26|692723
Maya Hawke|1998|7|8|692444
K. Bhagyaraj|1953|1|7|691208
Bharathiraja|1941|7|17|687692
Marlon Jackson|1957|3|12|687409
Palash Muchhal|1995|5|22|686953
Sean Strickland|1991|2|27|685886
Vogue Williams|1985|10|2|683944
Usha Vance|1986|1|6|683524
Lindsey Halligan|1989|7|21|680660
Spencer Cox|1975|7|11|680551
Sombr|2005|7|5|680237
V. D. Satheesan|1964|5|31|679756
Reese Witherspoon|1976|3|22|675096
Josh Hart|1995|3|6|674528
Judith Barsi|1978|6|6|674216
Carey Mulligan|1985|5|28|674170
Camila Mendes|1994|6|29|672442
Yoshinobu Yamamoto|1998|8|17|671564
Peter Mandelson|1953|10|21|671108
Elaine Hendrix|1970|12|28|671020
Dan Caine|1968|8|10|670016
Rod Brind'Amour|1970|8|9|668700
Sebastián Beccacece|1980|12|17|668077
Patrick Mahomes|1995|9|17|666022
Carlos Boozer|1981|11|20|665821
Greta Lee|1983|3|7|665779
Mel Brooks|1926|6|28|665542
Tyriq Withers|1998|7|15|665055
Denise Richards|1971|2|17|663541
Manuel Neuer|1986|3|27|661776
Maja Chwalińska|2001|10|11|661078
Dónal Finn|1995|8|31|660473
Bradley Barcola|2002|9|2|659578
Lucy Davis|1973|2|17|659442
Enzo Maresca|1981|2|10|656586
Corey Feldman|1971|7|16|656481
Natalie Alyn Lind|1999|6|21|656237
Shane Gillis|1987|12|11|655895
Mikel Arteta|1982|3|26|655502
Kaitlin Olson|1975|8|18|655340
Yasin Ayari|2003|10|6|654780
Laura Ingalls Wilder|1867|2|7|651763
Uwe Boll|1965|6|22|651720
Louis Partridge|2003|6|3|650834
